,sample_length,classical_latency_s,quantum_latency_s,classical_throughput_sps,quantum_throughput_sps
0,320000,0.05191709999962768,0.11532480000096257,6163672.470193729,2774771.7749983445
1,320000,0.03916369999933522,0.11158080000132031,8170831.663132743,2867876.910689057
2,320000,0.03969899999901827,0.09969120000096154,8060656.439908143,3209912.2088701264
3,320000,0.037227099999654456,0.12688609999895561,8595888.479171632,2521946.848414711
4,320000,0.03837759999987611,0.11032759999943664,8338197.281774603,2900452.8332133936
5,320000,0.03568170000107784,0.11084810000102152,8968182.56950576,2886833.4233699185
6,320000,0.03500340000027791,0.10096130000056291,9141969.065789592,3169531.295637198
7,320000,0.03774449999946228,0.09901650000028894,8478056.405689806,3231784.6015468757
8,320000,0.03901450000012119,0.11423659999854863,8202078.714298684,2801203.817376091
9,320000,0.04421030000048631,0.36935059999996156,7238132.290359486,866385.4884763509
10,320000,0.06570380000084697,0.37946150000061607,4870342.354565108,843300.3084620718
11,320000,0.04339660000005097,0.10372080000161077,7373849.564242917,3085205.6674748985
12,320000,0.07740540000122564,0.13735340000130236,4134078.5009176764,2329756.671454553
13,320000,0.21788790000027802,0.29805750000014086,1468645.11521563,1073618.3454529706
14,320000,0.3160323000010976,0.23614439999983006,1012554.7293706643,1355103.064058391
15,320000,0.13989200000105484,0.3204449000004388,2287478.912286529,998611.6177837807
16,320000,0.06455060000007506,0.18344830000023649,4957351.28720148,1744360.6727322494
17,320000,0.08218570000099135,0.29303909999907773,3893621.396376013,1092004.445826537
18,320000,0.07550759999867296,0.28851140000006126,4237983.991089956,1109141.6145078915
19,320000,0.09188670000003185,0.199325300000055,3482549.7052336093,1605415.8704384828
20,320000,0.06121800000073563,0.12754059999861056,5227220.752003573,2509004.9756978257
21,320000,0.054834200000186684,0.22892059999867342,5835774.024220479,1397864.5871182163
22,320000,0.10359479999897303,0.16045520000079705,3088958.1330643264,1994326.142115746
23,320000,0.05551960000047984,0.14468089999900258,5763730.286191441,2211763.957800968
24,320000,0.05414879999989353,0.13549150000108057,5909641.580249779,2361771.7716421173
25,320000,0.04844500000035623,0.15779450000081852,6605428.836776694,2027954.0795042925
26,247552,0.23766059999979916,0.23763040000085311,1041619.8562160038,1041752.2337171981
27,320000,0.06237479999981588,0.24600590000045486,5130276.9708431065,1300781.8105151476
28,320000,0.04072629999973287,0.13370279999980994,7857330.521115321,2393367.9773382074
29,320000,0.03931200000079116,0.11068449999947916,8140008.139844322,2891100.379922264
30,320000,0.03744899999946938,0.1125331000002916,8544954.471535532,2843607.7918334324
31,320000,0.04468619999897783,0.13031109999974433,7161047.482384267,2455661.873782263
32,320000,0.04305709999971441,0.12178529999982857,7431991.4718390815,2627574.9207864203
33,320000,0.06301819999862346,0.14222109999900567,5077898.131127038,2250017.7540620714
34,320000,0.050016999999570544,0.14408360000015819,6397824.739643473,2220932.847316757
35,320000,0.05299829999967187,0.14807920000021113,6037929.518531372,2161005.7320646234
36,320000,0.05738319999909436,0.14369090000036522,5576545.051601346,2227002.5450406857
37,320000,0.04578570000012405,0.18450080000002345,6989081.743844322,1734409.823697021
38,320000,0.08938690000104543,0.16821710000112944,3579942.9222431635,1902303.630236471
39,320000,0.041192999999111635,0.09720279999964987,7768310.149950261,3292086.2362108156
40,320000,0.03873770000063814,0.1171541999992769,8260686.617809744,2731442.833479082
41,320000,0.03573549999964598,0.09503440000116825,8954680.919622507,3367201.771106739
42,320000,0.037696999999752734,0.09536229999866919,8488739.157017773,3355623.763315961
43,320000,0.03772430000026361,0.10029470000154106,8482596.098476682,3190597.3096792065
44,299776,0.4166800000002695,0.3421628000014607,719439.3779394407,876120.9576222787
45,320000,0.04235359999984212,0.1159161999985372,7555438.026547752,2760614.996040573
46,320000,0.045059399999445304,0.1787992999998096,7101736.818598102,1789716.1789802352
47,320000,0.0543004999999539,0.10493859999951383,5893131.739123427,3049402.2218848215
48,320000,0.0423532000004343,0.1107467000001634,7555509.382920739,2889476.6164547373
49,320000,0.05380210000112129,0.12536899999940943,5947723.2300101835,2552465.1229690546
