N,eta,f_ent,fisher,crb,mc_sigma
9,0.9,0.25,7.073506028171307,0.1413726087201098,0.4249176645560199
9,0.9,0.5,10.352115007490788,0.09659861770047959,0.35516095986839097
9,0.9,0.75,18.80553286722246,0.05317583963509873,0.27178091634579016
9,0.9,1.0,31.38105960900001,0.03186635545324934,0.197793561546394
9,0.8,0.0,7.2,0.1388888888888889,0.4328986919145124
9,0.8,0.25,6.166050703292573,0.16217836150228476,0.45197853819950684
9,0.8,0.5,7.309368446514852,0.1368107254843345,0.42570997113074127
9,0.8,0.75,9.377504819263946,0.10663817500213148,0.36357051246111616
9,0.8,1.0,10.871635968000005,0.0919824765052324,0.3448137921997436
9,0.6,0.0,5.3999999999999995,0.1851851851851852,0.5025950172890841
9,0.6,0.25,4.451000910076489,0.22466856785765413,0.5283964655964886
9,0.6,0.5,3.716425749378674,0.2690757376673498,0.5937149707657287
9,0.6,0.75,2.4369004014027373,0.4103573537204789,0.7260026139863568
9,0.6,1.0,0.8162933759999997,1.2250497546607562,1.2356217080412764
9,0.4,0.0,3.6,0.2777777777777778,0.5967223974522671
9,0.4,0.25,2.861042322575328,0.3495229665459348,0.6691360300081081
9,0.4,0.5,1.963932473903129,0.5091824761228145,0.7809746889233876
9,0.4,0.75,0.9704001769143444,1.0305026975363674,1.1718861214237022
9,0.4,1.0,0.02123366400000001,47.09502797067899,7.921118509594487
10,0.99,0.0,9.9,0.10101010101010101,0.3700908727968725
10,0.99,0.25,8.94872997985656,0.1117477007632349,0.3713991650054878
10,0.99,0.5,16.83737562375,0.059391678510126465,0.2678475218708252
10,0.99,0.75,41.599405338603724,0.024038805167053978,0.1814993883267162
10,0.99,1.0,90.43820750088044,0.011057273553218807,0.121393248423501
10,0.9,0.0,9.0,0.1111111111111111,0.3896341282694682
10,0.9,0.25,7.950677299095181,0.1257754481009818,0.39643234624458656
10,0.9,0.5,11.881125,0.08416711380445875,0.3194802939840474
10,0.9,0.75,21.392674335253275,0.04674497373860764,0.2406962817536973
10,0.9,1.0,34.86784401000001,0.0286797199079244,0.1899412213175714
10,0.8,0.0,8.0,0.125,0.3997128121323887
10,0.8,0.25,6.894427190999916,0.14504468207386603,0.4273896529460537
10,0.8,0.5,8.096,0.12351778656126482,0.39158898307851797
10,0.8,0.75,9.913319352565019,0.10087438570626249,0.3660598086431988
10,0.8,1.0,10.737418240000006,0.09313225746154781,0.34957543901878624
10,0.6,0.0,6.0,0.16666666666666666,0.47583929869270214
10,0.6,0.25,4.935710626448334,0.20260507061362823,0.5160551662113778
10,0.6,0.5,3.9719999999999995,0.2517623363544814,0.551598061398355
10,0.6,0.75,2.4147831744408066,0.4141158554459329,0.7366942895681959
10,0.6,1.0,0.6046617599999997,1.653817168792021,1.443785617356318
10,0.4,0.0,4.0,0.25,0.585726183175587
10,0.4,0.25,3.158113883008419,0.3166446927010118,0.6514403031838782
10,0.4,0.5,2.128,0.4699248120300752,0.7610156086584812
10,0.4,0.75,1.0437153263741676,0.9581156611678462,1.1330242690923924
10,0.4,1.0,0.010485760000000005,95.36743164062496,11.159859918416347
11,0.99,0.0,10.89,0.09182736455463728,0.3447387886634335
11,0.99,0.25,10.00658660609891,0.09993417729383469,0.36038263864465864
11,0.99,0.5,19.756625181016453,0.05061593216643447,0.26403295630706936
11,0.99,0.75,49.70753080408008,0.020117676010531552,0.1689738600445743
11,0.99,1.0,108.33592876530469,0.009230548086834298,0.11326782194304717
11,0.9,0.0,9.9,0.10101010101010101,0.3603053519362938
11,0.9,0.25,8.840051666955482,0.11312151078687083,0.37745963639398755
11,0.9,0.5,13.422843510070951,0.07449986280848134,0.3077012006837221
11,0.9,0.75,23.877764032067997,0.041879968269097276,0.23482354137989675
11,0.9,1.0,37.97108212689001,0.02633583095309863,0.1899259445258525
11,0.8,0.0,8.8,0.11363636363636363,0.37322089113949725
11,0.8,0.25,7.623535383010466,0.13117273676312483,0.4237155149009539
11,0.8,0.5,8.832924266946144,0.11321278998645096,0.3879368879245875
11,0.8,0.75,10.29956235441177,0.09709150404547574,0.3605222267423652
11,0.8,1.0,10.393820856320007,0.09621100977432623,0.3547776996038358
11,0.6,0.0,6.6,0.15151515151515152,0.44915594032256184
11,0.6,0.25,5.414003583781164,0.18470619469032482,0.4955016960997871
11,0.6,0.5,4.211018634628293,0.23747223338712917,0.5362410010751825
11,0.6,0.75,2.404600304574658,0.41586953062325543,0.697840496221529
11,0.6,1.0,0.43898443775999985,2.277985080980745,1.658558049838829
11,0.4,0.0,4.4,0.22727272727272727,0.5376821355540647
11,0.4,0.25,3.4521494449916355,0.2896745972138593,0.6133166955264373
11,0.4,0.5,2.297954712801376,0.4351695855576398,0.7307799789653551
11,0.4,0.75,1.1266050505818312,0.8876225075358516,1.0786480639282081
11,0.4,1.0,0.005075107840000003,197.04014801782012,16.432666499976854
12,0.99,0.0,11.879999999999999,0.08417508417508418,0.324385879508196
12,0.99,0.25,11.09317275,0.09014553568545121,0.3460607727590087
12,0.99,0.5,22.886642689218,0.04369360825784659,0.2386143971937379
12,0.99,0.75,58.46617278463118,0.017103907308652615,0.14790130926503647
12,0.99,1.0,127.63942152712261,0.007834570135430347,0.10003288578098608
12,0.9,0.0,10.8,0.09259259259259259,0.3311765586084186
12,0.9,0.25,9.740250000000001,0.10266676933343599,0.3637788444733657
12,0.9,0.5,14.965938000000001,0.06681839788458298,0.28794117390584056
12,0.9,0.75,26.235794706750006,0.03811586464894535,0.22031642861558765
12,0.9,1.0,40.669853253264016,0.024588237232445475,0.1813867027697005
12,0.8,0.0,9.600000000000001,0.10416666666666666,0.36003588889233323
12,0.8,0.25,8.352000000000002,0.1197318007662835,0.394629671416064
12,0.8,0.5,9.518592000000002,0.1050575547307837,0.36350127265617344
12,0.8,0.75,10.553726976000004,0.09475325657694934,0.3468004454928839
12,0.8,1.0,9.895604649984005,0.10105496686365864,0.3591121318636873
12,0.6,0.0,7.199999999999999,0.1388888888888889,0.41427079819526536
12,0.6,0.25,5.885999999999999,0.16989466530750938,0.4441763356727306
12,0.6,0.5,4.439807999999999,0.22523496511560864,0.5210294880088469
12,0.6,0.75,2.4122200319999996,0.41455588077961875,0.7400127396912917
12,0.6,1.0,0.3134566563839999,3.190233736095719,2.0766963776666443
12,0.4,0.0,4.800000000000001,0.20833333333333331,0.5350687754550169
12,0.4,0.25,3.7440000000000007,0.26709401709401703,0.5948440731641491
12,0.4,0.5,2.4737280000000004,0.4042481630963468,0.7167661736004756
12,0.4,0.75,1.2159252480000002,0.8224189781771847,1.0431881483783976
12,0.4,1.0,0.002415919104000001,413.9211442735458,23.607911342644577
13,0.99,0.0,12.87,0.07770007770007771,0.31963133970447855
13,0.99,0.25,12.208266145706526,0.08191171359347255,0.319580082535805
13,0.99,0.5,26.224074454841837,0.038132899665229814,0.21875373813029672
13,0.99,0.75,67.85932990565047,0.014736367149371639,0.1327812145763465
13,0.99,1.0,148.30105288682557,0.006743040460833004,0.09523800946434866
13,0.9,0.0,11.700000000000001,0.08547008547008546,0.3463169737520878
13,0.9,0.25,10.649972430677234,0.09389695668314606,0.3494583111799923
13,0.9,0.5,16.500574362659435,0.06060395099112342,0.2816196212270646
13,0.9,0.75,28.448190491045363,0.035151620638745724,0.22041372349432742
13,0.9,1.0,42.957532498760116,0.02327880448042175,0.1746442563781883
13,0.8,0.0,10.4,0.09615384615384615,0.3295717360909136
13,0.8,0.25,9.078642655372295,0.11014862441008723,0.3789029199718327
13,0.8,0.5,10.153151742901809,0.09849158422153122,0.3687140145079461
13,0.8,0.75,10.694646135818157,0.09350473005841987,0.3516652006555137
13,0.8,1.0,9.290873254707206,0.10763250908555357,0.37486193254814565
13,0.6,0.0,7.8,0.12820512820512822,0.4029073090292247
13,0.6,0.25,6.351993731873531,0.15743088583071513,0.43296891376754915
13,0.6,0.5,4.66344867397776,0.21443358122070522,0.5108086328824368
13,0.6,0.75,2.4398297808988336,0.4098646585220383,0.7476878490509876
13,0.6,1.0,0.22072572887039987,4.530509447709898,2.435974397306296
13,0.4,0.0,5.2,0.1923076923076923,0.4845046816326581
13,0.4,0.25,4.034400753161632,0.2478682860685894,0.5364187486585328
13,0.4,0.5,2.65472511227581,0.37668683487260657,0.7051634837089743
13,0.4,0.75,1.3094005964630315,0.7637082209227732,1.008917211923788
13,0.4,1.0,0.0011341398016000007,881.7255144288548,33.03766148995741
14,0.99,0.0,13.86,0.07215007215007216,0.30330120668089633
14,0.99,0.25,13.351645652913668,0.07489713448033086,0.30359304509216867
14,0.99,0.5,29.765601023721253,0.033595827586450036,0.20556163635225216
14,0.99,0.75,77.87124789625804,0.01284171022059675,0.1293670053107952
14,0.99,1.0,170.27417930271974,0.005872881044530909,0.08571593940086246
14,0.9,0.0,12.6,0.07936507936507936,0.32108243927359975
14,0.9,0.25,11.5679947556039,0.08644540571870234,0.35133194377769367
14,0.9,0.5,18.018274050000002,0.05549921136869377,0.2706778708552029
14,0.9,0.75,30.50181879718329,0.03278493019217417,0.2086412420075435
14,0.9,1.0,44.83851321172358,0.02230225599314782,0.168946524515455
14,0.8,0.0,11.200000000000001,0.08928571428571427,0.3350183460045986
14,0.8,0.25,9.802461835487868,0.10201518932516507,0.36755368629432106
14,0.8,0.5,10.738022400000002,0.09312701750370718,0.3293293164921149
14,0.8,0.75,10.74117423668605,0.0930996907753847,0.3601922638655509
14,0.8,1.0,8.620171161763846,0.11600697726695505,0.3906597119531697
14,0.6,0.0,8.4,0.11904761904761904,0.39893799357964
14,0.6,0.25,6.812395696703242,0.14679123828404964,0.43655869979723844
14,0.6,0.5,4.8858432,0.2046729620795035,0.5345180395701588
14,0.6,0.75,2.48728260473126,0.40204518702371,0.768891600823009
14,0.6,1.0,0.1535937616281599,6.510681094072898,2.8853435283042903
14,0.4,0.0,5.6000000000000005,0.17857142857142855,0.4786985284336343
14,0.4,0.25,4.3239612842786,0.23126941576370696,0.5729775405575838
14,0.4,0.5,2.8401408000000004,0.3520952200679628,0.6421764139348431
14,0.4,0.75,1.4054836505403758,0.711498849250593,0.907216702386597
14,0.4,1.0,0.0005261334937600004,1900.6583155417916,49.18012997042156
15,0.99,0.0,14.85,0.06734006734006734,0.301584378187447
15,0.99,0.25,14.523091252136627,0.06885586426738734,0.3032276745904599
15,0.99,0.5,33.507936892402476,0.029843675640523783,0.18863788304111245
15,0.99,0.75,88.48641645403157,0.01130116960403179,0.1187867969496415
15,0.99,1.0,193.5131297942899,0.005167608012247174,0.08111535562850691
15,0.9,0.0,13.5,0.07407407407407407,0.30463171387766197
15,0.9,0.25,12.49316497982219,0.08004376806158471,0.3263407839474519
15,0.9,0.5,19.51178289016885,0.05125108277541655,0.2607662947337743
15,0.9,0.75,32.388127027768206,0.030875511854780685,0.20610008694340953
15,0.9,1.0,46.32550472129604,0.021586381109417154,0.16895311610550667
15,0.8,0.0,12.0,0.08333333333333333,0.3121259414386926
15,0.8,0.25,10.522614619354412,0.09503341480934635,0.35831097524722394
15,0.8,0.5,11.275546235043347,0.08868749940398392,0.3535024865959433
15,0.8,0.75,10.711318869654844,0.09335918500503229,0.3561431434309755
15,0.8,1.0,7.916483719987207,0.12631870857957325,0.3974209509001206
15,0.6,0.0,9.0,0.1111111111111111,0.387794809629749
15,0.6,0.25,7.267689948846755,0.1375953029144675,0.4153468538682338
15,0.6,0.5,5.109855449627204,0.1957002521613319,0.5049962827941032
15,0.6,0.75,2.553087395060565,0.39168263567267264,0.7252204233552743
15,0.6,1.0,0.10579162152959994,9.452544403246577,3.5462379890706326
15,0.4,0.0,6.0,0.16666666666666666,0.4616941187716811
15,0.4,0.25,4.6131690086714645,0.21677072704691294,0.5300698857099765
15,0.4,0.5,3.0291435509161118,0.33012631563716,0.6468736806992208
15,0.4,0.75,1.503166220895689,0.6652624214799956,0.9062566463080084
15,0.4,1.0,0.00024159191040000022,4139.211442735456,73.04207204556401
16,0.99,0.0,15.84,0.06313131313131314,0.2959607976845432
16,0.99,0.25,15.722384039999998,0.06360358565570315,0.28092345183471334
16,0.99,0.5,37.447830221693444,0.02670381685881235,0.18702441951724538
16,0.99,0.75,99.68956614534194,0.010031140054738073,0.11230348617910713
16,0.99,1.0,217.97318940028813,0.004587720181327392,0.07609858499941206
16,0.9,0.0,14.4,0.06944444444444445,0.2896732666851319
16,0.9,0.25,13.4244,0.0744912249337028,0.31397856052005946
16,0.9,0.5,20.974950720000002,0.04767591654203419,0.23783304563004454
16,0.9,0.75,34.10238993994801,0.029323458026282966,0.19137874066134045
16,0.9,1.0,47.437316834607145,0.02108045030216519,0.17021166084663603
16,0.8,0.0,12.8,0.078125,0.3088762255065682
16,0.8,0.25,11.238400000000002,0.08898063781321183,0.32645001990865397
16,0.8,0.5,11.768709120000004,0.08497108644656515,0.34869695754502317
16,0.8,0.75,10.621703487488004,0.09414685706280213,0.34335052092705654
16,0.8,1.0,7.2057594037928,0.13877787807814446,0.4270094126273211
16,0.6,0.0,9.6,0.10416666666666667,0.3727473629827825
16,0.6,0.25,7.718399999999999,0.12956053067993367,0.3858053000482171
16,0.6,0.5,5.33747712,0.18735443309965888,0.48480423700630443
16,0.6,0.75,2.635092492288,0.37949332060512203,0.7392623356705006
16,0.6,1.0,0.07222041363087356,13.846500590693228,4.328958209852164
16,0.4,0.0,6.4,0.15625,0.44393126059079463
16,0.4,0.25,4.902400000000001,0.20398172323759786,0.49036822481618075
16,0.4,0.5,3.22097152,0.31046533438457724,0.6236434443744618
16,0.4,0.75,1.6018119393280001,0.6242930118372852,0.920114177228421
16,0.4,1.0,0.00010995116277760009,9094.947017729275,105.67468635486502
17,0.99,0.0,16.83,0.05941770647653001,0.2833217275574815
17,0.99,0.25,16.949306224544934,0.05899946503720973,0.2859395994556621
17,0.99,0.5,41.58206255237899,0.024048831121360238,0.18322827710480127
17,0.99,0.75,111.46566534091698,0.008971372457532163,0.10872228776057812
17,0.99,1.0,243.61058288795482,0.004104911979377906,0.07265281146516776
17,0.9,0.0,15.3,0.06535947712418301,0.2981935730988555
17,0.9,0.25,14.360682421415081,0.0696345738074933,0.31411331888326277
17,0.9,0.5,22.402621021035188,0.04463763409919933,0.23003332701586646
17,0.9,0.75,35.64305500499366,0.028055956479036324,0.20028520951658577
17,0.9,1.0,48.19705511203641,0.020748155622277154,0.1624149821853733
17,0.8,0.0,13.600000000000001,0.07352941176470587,0.29967066553019034
17,0.8,0.25,11.949243680012275,0.08368730496916042,0.3167966359684727
17,0.8,0.5,12.220916842408986,0.08182692124455043,0.3136215203028938
17,0.8,0.75,10.48726981908131,0.0953537018929871,0.34216994685124685
17,0.8,1.0,6.507701461550373,0.15366408645330873,0.44663763249272465
17,0.6,0.0,10.2,0.09803921568627452,0.34822414301068105
17,0.6,0.25,8.165063391164914,0.12247302342833734,0.39697720377366297
17,0.6,0.5,5.569995266512699,0.17953336621524402,0.4920191381093323
17,0.6,0.75,2.7309297884191053,0.36617565352307546,0.6924043750058461
17,0.6,1.0,0.048918045795287,20.44235381324952,5.068206925716904
