,rms,zcr,crest,spectral_centroid,spectral_rolloff,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,quantum_enhancement_ratio,squeezing_eff,energy_low,energy_mid,energy_high
count,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
mean,0.09173093294235148,0.2484045351473923,4.146960285055054,4490.221432016052,8798.092458089193,-123.97212285582741,19.464803084502094,22.275927656745765,20.890726111649492,10.383665099933772,18.010108876958448,3.1062444539658447,16.118893176875726,2.028264453598971,13.114225509530828,1.2548988438193902,10.494981338366726,0.4831547202599174,8.808588720338205,0.06123022340574792,8.150616184951545,-0.5796211601980609,7.591234569697356,-1.0963898592573402,7.157747118491866,-1.210279460489856,6.982692230981154,-1.4373176063774888,6.6499954564668515,-1.6508899700918482,6.202515326725774,1.7583154510007637,-1.1645739161954154,94496.18077826957,121144.93658478443,486701.03433604795
std,0.03517855510278889,0.10917208642183798,1.6675517480082007,368.82575836250794,241.89845187004926,31.208929696532866,9.576997339377664,13.355901893177744,10.189917415027805,7.475319461031141,8.966850847698053,5.554007275203699,8.32504746694063,4.566097314654535,7.15624775078376,3.7175617733843707,5.934477821679964,3.4125644318975294,5.042341392104994,2.894133515106634,4.480454043585589,2.7494928842317825,3.7049383198446835,2.439376752126238,3.0501190797150874,2.048267421638084,2.8157692767344527,1.7605467315766006,2.5309957609252014,1.3683185280732402,2.1204059256220584,0.051156420329391,0.3677277357687308,61535.837066299595,54990.843310364595,153045.62992396127
min,0.05289649303332991,0.16802721088435374,2.9222327285501724,4090.5926977789923,8481.240844726562,-164.78108051191398,4.052162270666171,3.8804335446946947,4.385278444738364,-0.31622032376961223,4.358378812595642,-5.997084528786589,4.129582029201133,-4.930666599643452,4.027620262543452,-3.4151330493533396,3.845591736354259,-3.757175697696392,3.0625394117940385,-2.52467328650146,3.1176029832713295,-3.62751099502371,3.1477735388748465,-3.5798989446425904,2.6918225239872116,-4.193064277176353,2.5879594395733245,-4.352364819491531,2.611776715025485,-4.463525893297926,2.5470541173874794,1.6889011323801935,-1.6155953686844335,37752.945239831766,58538.23111202113,295759.2997731219
25%,0.060776766209100934,0.17040136054421767,3.171721783971962,4141.187735530677,8656.173197428385,-149.06614737467092,15.269563177137718,11.604476719199559,15.68417677745951,5.628357851286219,14.179036090528303,-0.02124837494925802,9.251247776744698,-1.2687774517156658,6.307683247938927,-1.907821281490898,4.590933698432762,-1.9300918595755174,3.9292463521294834,-1.8833536007141782,3.773653870685607,-2.731176622183884,3.8258924169069646,-2.75948231972981,4.195720280734747,-2.7259370550207387,4.50657731783257,-2.8042372560099236,4.8145741737659495,-2.7085639032053215,4.920787105047816,1.714236964635253,-1.4356976563893553,53667.9121342529,66531.95081414383,407929.739186366
50%,0.08502517409916532,0.19448526077097505,3.3508849320820735,4401.36844996169,8746.64255777995,-123.9298158214255,21.491185675365433,23.088126968503197,23.510091319762502,9.34533068379323,18.662712562764412,4.40532466830448,17.804551584709824,2.2371347876393406,13.491257449458562,0.4533870498385124,10.181025234903904,-0.589031201347598,8.128563095802038,-1.5125612451296182,7.663377814340382,-1.5541383946841218,7.502515295669141,-2.1296864075662167,7.3883109891464365,-1.7216474794232604,7.317121046369034,-1.5665898876750646,7.080652959266647,-1.4154927452710853,6.801514758948455,1.7585563849018309,-1.2977798532917542,71050.15634849897,117412.15429406473,462679.8346489739
75%,0.1228201996578374,0.2730839002267574,3.913229733361461,4866.238667610778,8937.4880472819,-98.211865125315,25.46596714621078,30.733656923285327,28.51261160473331,15.730948003552383,22.227663830164502,7.99379401920541,23.670361779855085,6.483788086947612,19.656290953578257,3.964510869044992,15.96299877950457,2.5478739675199398,13.071376179841522,1.2328840840489308,12.004666348208755,0.2340111654156657,10.861713936796132,-0.39425069031697757,9.9006031082571,-0.20413252288576778,9.424055283307398,-0.09574320464430165,8.73589214429963,-0.481136076552064,8.039090638655226,1.7868417913977075,-0.9056123354970611,107400.83056951966,161547.6981333485,542159.669337493
max,0.13949440009143108,0.44553287981859413,8.664400204002407,4981.697077701817,9201.955159505209,-84.83496263719253,32.23629171852239,41.15920019635885,32.683642724349745,21.60285468730504,30.441104271749083,9.959729127989046,25.55875812060586,8.227148037187836,22.044829396730286,7.337253292163658,17.982286923078693,6.706635123249096,15.78927147312403,5.7237543615436435,14.248574972987818,4.695599044354419,12.684712643546673,3.7488559289639847,11.447736093157562,2.9607429014597755,10.786507385647173,1.6400173354591683,10.227183310942088,0.43549715394284083,9.041975221066266,1.8368867267476614,-0.5970980828692993,210424.44007353403,198045.31458894187,727278.880714275
